"column_position" "column_name" "column_type" "column_description" "original_name" "original_position"
1 "mean_time_body_acceleration_x" "double" "mean of time domain body acceleration in the x direction" "tBodyAcc-mean()-X" 1
2 "mean_time_body_acceleration_y" "double" "mean of time domain body acceleration in the y direction" "tBodyAcc-mean()-Y" 2
3 "mean_time_body_acceleration_z" "double" "mean of time domain body acceleration in the z direction" "tBodyAcc-mean()-Z" 3
4 "std_time_body_acceleration_x" "double" "standard deviation of time domain body acceleration in the x direction" "tBodyAcc-std()-X" 4
5 "std_time_body_acceleration_y" "double" "standard deviation of time domain body acceleration in the y direction" "tBodyAcc-std()-Y" 5
6 "std_time_body_acceleration_z" "double" "standard deviation of time domain body acceleration in the z direction" "tBodyAcc-std()-Z" 6
7 "mean_time_gravity_acceleration_x" "double" "mean of time domain gravity acceleration in the x direction" "tGravityAcc-mean()-X" 41
8 "mean_time_gravity_acceleration_y" "double" "mean of time domain gravity acceleration in the y direction" "tGravityAcc-mean()-Y" 42
9 "mean_time_gravity_acceleration_z" "double" "mean of time domain gravity acceleration in the z direction" "tGravityAcc-mean()-Z" 43
10 "std_time_gravity_acceleration_x" "double" "standard deviation of time domain gravity acceleration in the x direction" "tGravityAcc-std()-X" 44
11 "std_time_gravity_acceleration_y" "double" "standard deviation of time domain gravity acceleration in the y direction" "tGravityAcc-std()-Y" 45
12 "std_time_gravity_acceleration_z" "double" "standard deviation of time domain gravity acceleration in the z direction" "tGravityAcc-std()-Z" 46
13 "mean_time_body_acceleration_x_deriv" "double" "mean of time domain body acceleration in the x directionderivative" "tBodyAccJerk-mean()-X" 81
14 "mean_time_body_acceleration_y_deriv" "double" "mean of time domain body acceleration in the y directionderivative" "tBodyAccJerk-mean()-Y" 82
15 "mean_time_body_acceleration_z_deriv" "double" "mean of time domain body acceleration in the z directionderivative" "tBodyAccJerk-mean()-Z" 83
16 "std_time_body_acceleration_x_deriv" "double" "standard deviation of time domain body acceleration in the x directionderivative" "tBodyAccJerk-std()-X" 84
17 "std_time_body_acceleration_y_deriv" "double" "standard deviation of time domain body acceleration in the y directionderivative" "tBodyAccJerk-std()-Y" 85
18 "std_time_body_acceleration_z_deriv" "double" "standard deviation of time domain body acceleration in the z directionderivative" "tBodyAccJerk-std()-Z" 86
19 "mean_time_body_angular_x" "double" "mean of time domain body angular velocity in the x direction" "tBodyGyro-mean()-X" 121
20 "mean_time_body_angular_y" "double" "mean of time domain body angular velocity in the y direction" "tBodyGyro-mean()-Y" 122
21 "mean_time_body_angular_z" "double" "mean of time domain body angular velocity in the z direction" "tBodyGyro-mean()-Z" 123
22 "std_time_body_angular_x" "double" "standard deviation of time domain body angular velocity in the x direction" "tBodyGyro-std()-X" 124
23 "std_time_body_angular_y" "double" "standard deviation of time domain body angular velocity in the y direction" "tBodyGyro-std()-Y" 125
24 "std_time_body_angular_z" "double" "standard deviation of time domain body angular velocity in the z direction" "tBodyGyro-std()-Z" 126
25 "mean_time_body_angular_x_deriv" "double" "mean of time domain body angular velocity in the x directionderivative" "tBodyGyroJerk-mean()-X" 161
26 "mean_time_body_angular_y_deriv" "double" "mean of time domain body angular velocity in the y directionderivative" "tBodyGyroJerk-mean()-Y" 162
27 "mean_time_body_angular_z_deriv" "double" "mean of time domain body angular velocity in the z directionderivative" "tBodyGyroJerk-mean()-Z" 163
28 "std_time_body_angular_x_deriv" "double" "standard deviation of time domain body angular velocity in the x directionderivative" "tBodyGyroJerk-std()-X" 164
29 "std_time_body_angular_y_deriv" "double" "standard deviation of time domain body angular velocity in the y directionderivative" "tBodyGyroJerk-std()-Y" 165
30 "std_time_body_angular_z_deriv" "double" "standard deviation of time domain body angular velocity in the z directionderivative" "tBodyGyroJerk-std()-Z" 166
31 "mean_time_body_acceleration_mag" "double" "mean of time domain body acceleration magnitude" "tBodyAccMag-mean()" 201
32 "std_time_body_acceleration_mag" "double" "standard deviation of time domain body acceleration magnitude" "tBodyAccMag-std()" 202
33 "mean_time_gravity_acceleration_mag" "double" "mean of time domain gravity acceleration magnitude" "tGravityAccMag-mean()" 214
34 "std_time_gravity_acceleration_mag" "double" "standard deviation of time domain gravity acceleration magnitude" "tGravityAccMag-std()" 215
35 "mean_time_body_acceleration_mag_deriv" "double" "mean of time domain body acceleration magnitude derivative" "tBodyAccJerkMag-mean()" 227
36 "std_time_body_acceleration_mag_deriv" "double" "standard deviation of time domain body acceleration magnitude derivative" "tBodyAccJerkMag-std()" 228
37 "mean_time_body_angular_mag" "double" "mean of time domain body angular velocity magnitude" "tBodyGyroMag-mean()" 240
38 "std_time_body_angular_mag" "double" "standard deviation of time domain body angular velocity magnitude" "tBodyGyroMag-std()" 241
